calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0,0.05,0.017,20,-0.23953286452538355,0.0017310549582971978,-0.02,0.0
1,0.05,0.017,20,0.005929028664292217,-0.03340146477926964,0.0,0.019
2,0.05,0.017,20,-0.03443353271608078,-0.01933023387664604,-0.02,-0.019
3,0.05,0.017,20,-0.04802344080555307,-0.06801498740302254,-0.05,0.01
0,0.05,0.017,20,-0.23458712887206512,-0.03563982210703598,-0.02,0.0
1,0.05,0.017,20,0.007254736575723755,-0.03280857487287931,0.0,0.019
2,0.05,0.017,20,-0.013551372091626854,-0.028443858057016345,-0.02,-0.019
3,0.05,0.017,20,-0.04359649168221537,-0.03391452451444249,-0.05,0.01
0,0.05,0.017,20,-0.23031119177667805,-0.03483424007188683,-0.02,0.0
1,0.05,0.017,20,0.016799915737252216,-0.022683573492936943,0.0,0.019
2,0.05,0.017,20,0.0002544199472829158,-0.013831125709534164,-0.02,-0.019
3,0.05,0.017,20,-0.03421099881096358,0.010953572394208026,-0.05,0.01
0,0.05,0.017,20,-0.22384530035359038,-0.017607585146181118,-0.02,0.0
1,0.05,0.017,20,0.02151680399865836,-0.015594940151673677,0.0,0.019
2,0.05,0.017,20,-0.002772025520250999,-0.013673565217052932,-0.02,-0.019
3,0.05,0.017,20,-0.03929270180846053,0.026005635118777917,-0.05,0.01
0,0.05,0.017,20,-0.21220833824891056,-0.029069729626470094,-0.02,0.0
1,0.05,0.017,20,0.024401870160621827,-0.016513145774426634,0.0,0.019
2,0.05,0.017,20,-0.003372327857072712,0.009777002639640035,-0.02,-0.019
3,0.05,0.017,20,-0.015469212675345324,0.14865532301689016,-0.05,0.01
0,0.05,0.009,20,-0.007117669326318644,-0.004673388922603223,-0.02,0.0
1,0.05,0.009,20,0.013866639935667564,0.039407330970549895,0.0,0.019
2,0.05,0.009,20,-0.016926777304983848,0.002310655522984751,-0.02,-0.019
3,0.05,0.009,20,-0.027077788829836066,0.006798171222603337,-0.05,0.01
0,0.05,0.009,20,-0.007785042234641041,-0.00638791967939438,-0.02,0.0
1,0.05,0.009,20,0.018391915140289625,0.03946957133983713,0.0,0.019
2,0.05,0.009,20,-0.015681737169935112,0.0059184374877456515,-0.02,-0.019
3,0.05,0.009,20,-0.00794205653093626,-0.000686458048350054,-0.05,0.01
0,0.05,0.009,20,-0.008444446599392145,-0.004866302062980646,-0.02,0.0
1,0.05,0.009,20,0.018306805414813162,0.04741238799842096,0.0,0.019
2,0.05,0.009,20,-0.008715331680978902,0.007543589710325889,-0.02,-0.019
3,0.05,0.009,20,0.018229504461628243,0.04828416842681594,-0.05,0.01
0,0.05,0.009,20,-0.0077274911614300425,-0.007171045144058737,-0.02,0.0
1,0.05,0.009,20,0.009439005934486312,0.04803004506452014,0.0,0.019
2,0.05,0.009,20,-0.01020764297513723,-0.015096206386858406,-0.02,-0.019
