calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0,0.001,0.0009,15,-0.024815724273676273,-0.0084537963946938,-0.02,0.0
1,0.001,0.0009,15,-0.019625765434009543,0.01795959337938842,-0.02,0.019
0,0.001,0.0009,15,-0.02501897222649544,-0.008249479179631647,-0.02,0.0
1,0.001,0.0009,15,-0.019647545268266575,0.01762045508635568,-0.02,0.019
0,0.001,0.0009,15,-0.024988624498851413,-0.008284381701788612,-0.02,0.0
1,0.001,0.0009,15,-0.019712993742241607,0.017716704236503605,-0.02,0.019
0,0.001,0.0009,15,-0.02505319370739464,-0.008287761873508633,-0.02,0.0
1,0.001,0.0009,15,-0.019853666890117246,0.01827862995535159,-0.02,0.019
0,0.001,0.0009,15,-0.02513587244814052,-0.008553685744649635,-0.02,0.0
1,0.001,0.0009,15,-0.019951184293270204,0.017417212382114664,-0.02,0.019
0,0.001,0.0009,15,-0.02512182037995928,-0.008336719144176073,-0.02,0.0
1,0.001,0.0009,15,-0.020754231952549024,0.01698601801902861,-0.02,0.019
0,0.001,0.0009,15,-0.02516144717631891,-0.008337213405188594,-0.02,0.0
1,0.001,0.0009,15,-0.020924305342522605,0.01691871746938503,-0.02,0.019
0,0.001,0.0009,15,-0.025109833172848837,-0.008330565601721997,-0.02,0.0
1,0.001,0.0009,15,-0.020912119477782834,0.016336767857694813,-0.02,0.019
0,0.001,0.0009,15,-0.02505988386596999,-0.008583861055235098,-0.02,0.0
1,0.001,0.0009,15,-0.020862935272304307,0.01649186541150255,-0.02,0.019
0,0.001,0.0009,15,-0.025157716867259292,-0.008621841299707434,-0.02,0.0
1,0.001,0.0009,15,-0.020889602620248443,0.01631706584503815,-0.02,0.019
