calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0,0.05,0.017,20,-0.01957005011913206,-0.01626459112009178,-0.02,0.0
1,0.05,0.017,20,-0.008416982434436898,0.04496228062322457,0.0,0.019
2,0.05,0.017,20,-0.19407815554159688,0.05418087724995367,-0.02,-0.019
3,0.05,0.017,20,-0.01794766391327183,-0.029582574898254013,-0.05,0.01
0,0.05,0.017,20,-0.029557080887560396,-0.022827165450336466,-0.02,0.0
1,0.05,0.017,20,-0.014454479652141689,0.039222739068923256,0.0,0.019
2,0.05,0.017,20,-0.20032354133845506,0.04978774557958155,-0.02,-0.019
3,0.05,0.017,20,-0.0077620237019241515,-0.021259846990752573,-0.05,0.01
0,0.05,0.017,20,-0.035295611777904544,-0.024204155332470587,-0.02,0.0
1,0.05,0.017,20,-0.0038046147989812163,0.037133198609198496,0.0,0.019
2,0.05,0.017,20,-0.19981370907968635,0.03077044887203773,-0.02,-0.019
3,0.05,0.017,20,-0.00953117799173939,-0.017282028956155854,-0.05,0.01
0,0.05,0.017,20,-0.02895194313108074,-0.02731125277445484,-0.02,0.0
1,0.05,0.017,20,-0.0041158660264526544,0.053771608250476076,0.0,0.019
2,0.05,0.017,20,-0.2161953828168285,0.020929096485445678,-0.02,-0.019
3,0.05,0.017,20,-0.009574286690175656,-0.0194351570996193,-0.05,0.01
0,0.05,0.017,20,-0.029398259415125975,-0.022715504577334268,-0.02,0.0
1,0.05,0.017,20,-8.919732067843042e-05,0.05489313407993026,0.0,0.019
2,0.05,0.017,20,-0.22199058884374245,0.010706201098385684,-0.02,-0.019
3,0.05,0.017,20,-0.012546039213613141,-0.018676802899333288,-0.05,0.01
0,0.05,0.009,20,-0.03254374960070553,-0.008094114151477953,-0.02,0.0
1,0.05,0.009,20,0.004717141599989048,0.06368003274630939,0.0,0.019
2,0.05,0.009,20,-0.017357610128140674,0.02161849085367888,-0.02,-0.019
3,0.05,0.009,20,-0.03744276472379652,-0.005310648959392356,-0.05,0.01
0,0.05,0.009,20,-0.02873532477613296,-0.012015482702657891,-0.02,0.0
1,0.05,0.009,20,0.015606445539584637,0.05405146322564552,0.0,0.019
2,0.05,0.009,20,-0.012275171051239157,0.01953968286421667,-0.02,-0.019
3,0.05,0.009,20,-0.03739305010551046,-0.0035908419256179425,-0.05,0.01
