calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high,n_outer,n_inner,n_limbs
0,0.001,0.0009,10,-3.154633423420447e-06,2.2275040495656275e-06,-0.01,0.01,1.8831159277361825e-07,1.1893503221117334e-07,1.1893503221117334e-07,3.942129526605669e-07,-1.5707963267948966,1.5707963267948966,2,20,20
1,0.001,0.0009,10,-1.2431167744185332e-06,1.4230998448216536e-06,-0.01,0.01,1.6575823886354232e-07,-1.0070899206351918e-07,-1.0070899206351918e-07,4.352576457086336e-07,-1.5707963267948966,1.5707963267948966,2,20,20
2,0.001,0.0009,10,1.3572822952471128e-07,2.405738069827852e-06,-0.01,0.01,1.9416479947429512e-07,-5.5034733207568766e-08,-5.5034733207568766e-08,2.539606187241503e-07,-1.5707963267948966,1.5707963267948966,2,20,20
3,0.001,0.0009,10,1.6312065664106285e-07,-1.402389216671918e-06,-0.01,0.01,1.839597591414719e-07,-1.4981075964614163e-07,-1.4981075964614163e-07,5.126927221338477e-07,-1.5707963267948966,1.5707963267948966,2,20,20
4,0.001,0.0009,10,-3.8614266545312425e-06,9.196104245830718e-07,-0.01,0.01,1.546415599653124e-07,5.994209651749344e-08,5.994209651749344e-08,3.794343658497536e-07,-1.5707963267948966,1.5707963267948966,2,20,20
5,0.001,0.0009,10,-3.3940932949533083e-06,3.5529539069083484e-06,-0.01,0.01,1.5785446798180262e-07,5.516496307162983e-08,5.516496307162983e-08,3.5344632330544324e-07,-1.5707963267948966,1.5707963267948966,2,20,20
6,0.001,0.0009,10,-3.6501451913071563e-06,1.7209411159832906e-06,-0.01,0.01,1.168721076175878e-07,-1.5884831827129396e-08,-1.5884831827129396e-08,8.880031344056068e-07,-1.5707963267948966,1.5707963267948966,2,20,20
7,0.001,0.0009,10,-1.088773531157319e-07,-1.5766905163900642e-06,-0.01,0.01,2.571259393582731e-07,-2.863208018792875e-07,-2.863208018792875e-07,7.052258783913535e-07,-1.5707963267948966,1.5707963267948966,2,20,20
8,0.001,0.0009,10,-3.674407522709143e-06,-2.838426333599175e-06,-0.01,0.01,1.2426077151377738e-07,9.511424047554628e-09,9.511424047554628e-09,6.078972150993791e-07,-1.5707963267948966,1.5707963267948966,2,20,20
9,0.001,0.0009,10,-5.790471966113844e-06,3.0320625012426906e-06,-0.01,0.01,3.482675544235669e-07,3.3621632726463267e-07,3.3621632726463267e-07,6.085982368876186e-07,-1.5707963267948966,1.5707963267948966,2,20,20
10,0.001,0.0009,10,-4.060454250579426e-06,1.8758446801567491e-06,-0.01,0.01,1.3833611472241086e-07,8.297297945405326e-08,8.297297945405326e-08,5.999985198832591e-07,-1.5707963267948966,1.5707963267948966,2,20,20
11,0.001,0.0009,10,-3.64043322109983e-06,2.603716968218173e-07,-0.01,0.01,1.2977388288913128e-07,-3.762699249268632e-08,-3.762699249268632e-08,5.538728090906492e-07,-1.5707963267948966,1.5707963267948966,2,20,20
12,0.001,0.0009,10,-3.280598802283908e-06,2.8272770697321725e-06,-0.01,0.01,1.3780870784672832e-07,1.9175771360574966e-08,1.9175771360574966e-08,4.200613612160155e-07,-1.5707963267948966,1.5707963267948966,2,20,20
13,0.001,0.0009,10,-3.0553355572706515e-06,-2.8950496080312253e-08,-0.01,0.01,1.4502194637129353e-07,-1.6418230313061856e-07,-1.6418230313061856e-07,9.98262621040574e-07,-1.5707963267948966,1.5707963267948966,2,20,20
14,0.001,0.0009,10,-2.9123239406433237e-06,3.6190861684987097e-06,-0.01,0.01,1.73746142849979e-07,8.196610368045687e-08,8.196610368045687e-08,3.494436105861929e-07,-1.5707963267948966,1.5707963267948966,2,20,20
15,0.001,0.0009,10,-3.4347152081825805e-06,4.1038189418703446e-06,-0.01,0.01,1.631086402276772e-07,1.284856940572187e-07,1.284856940572187e-07,5.558519492070822e-07,-1.5707963267948966,1.5707963267948966,2,20,20
16,0.001,0.0009,10,-2.10397525171595e-06,2.6679968183660705e-06,-0.01,0.01,1.6759730665639327e-07,-4.104547757289926e-08,-4.104547757289926e-08,2.948432198821906e-07,-1.5707963267948966,1.5707963267948966,2,20,20
17,0.001,0.0009,10,-3.725426916555351e-06,1.1591865169500364e-06,-0.01,0.01,1.3840966742145103e-07,-4.2598698699589955e-08,-4.2598698699589955e-08,4.553068894390124e-07,-1.5707963267948966,1.5707963267948966,2,20,20
18,0.001,0.0009,10,-4.761302832971054e-06,3.5451741718807643e-06,-0.01,0.01,1.9879125862200232e-07,1.5747186575637012e-07,1.5747186575637012e-07,4.7403739170315385e-07,-1.5707963267948966,1.5707963267948966,2,20,20
0,0.001,0.0009,10,-2.835080964670095e-06,-3.3711508544094566e-07,-0.01,0.01,8.45900810357399e-07,9.073527953025024e-07,9.073527953025024e-07,1.2264713787863917e-06,-1.5707963267948966,1.5707963267948966,2,15,20
1,0.001,0.0009,10,9.56967006088263e-09,1.6613810561077358e-06,-0.01,0.01,1.3283857603299113e-07,2.738724736593749e-08,2.738724736593749e-08,4.859343303028512e-07,-1.5707963267948966,1.5707963267948966,2,15,20
2,0.001,0.0009,10,-1.2427358837829733e-06,-1.4315553980943688e-06,-0.01,0.01,1.3729923806656912e-07,-7.671479251788068e-08,-7.671479251788068e-08,5.857273842288357e-07,-1.5707963267948966,1.5707963267948966,2,15,20
3,0.001,0.0009,10,-3.2264057831047463e-06,3.626324017055538e-07,-0.01,0.01,2.2026470646073964e-07,4.4526085354304376e-07,4.4526085354304376e-07,1.8857339461136126e-06,-1.5707963267948966,1.5707963267948966,2,15,20
4,0.001,0.0009,10,-2.633676553660294e-06,2.819938563867153e-06,-0.01,0.01,1.4063166943482069e-07,2.0122181021053591e-07,2.0122181021053591e-07,1.4634086063285867e-06,-1.5707963267948966,1.5707963267948966,2,15,20
5,0.001,0.0009,10,-3.4756136688678177e-07,-1.9991932802820938e-06,-0.01,0.01,2.80926632462567e-07,-6.027887118881057e-07,-6.027887118881057e-07,2.2064577979165736e-06,-1.5707963267948966,1.5707963267948966,2,15,20
6,0.001,0.0009,10,-3.2564313537357887e-06,4.3686369652147255e-06,-0.01,0.01,4.112999666905647e-07,6.143407350476173e-07,6.143407350476173e-07,1.3631066070688668e-06,-1.5707963267948966,1.5707963267948966,2,15,20
