calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_low,movement_high
0,0.001,0.0009,10,-0.0194873423683768,0.0008211038961378127,-0.02,0.0,9.809735540038712e-07,9.129959817172458e-07,9.129959817172458e-07,1.064638957361823e-06,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,10,-0.0006768570975360123,0.01840877137712663,0.0,0.019,1.0904959394864031e-06,1.758943761976515e-06,1.758943761976515e-06,3.250980711485812e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,10,-0.023281224955561508,-0.02579497836965486,-0.02,-0.019,1.4126734630462726e-05,1.6172778598169624e-05,1.6172778598169624e-05,1.875547164323527e-05,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,10,-0.04128342726483645,0.007527836849993595,-0.05,0.01,1.3942737403945231e-06,1.0717424440389098e-06,1.0717424440389098e-06,1.000984810673142e-06,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,10,-0.019394370679447704,0.0009925654644001919,-0.02,0.0,1.343708284344622e-06,1.1960417998820647e-06,1.1960417998820647e-06,1.264678911099648e-06,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,10,-0.0003932184700625866,0.0185798454618034,0.0,0.019,1.1192347177300317e-06,1.8092141219143478e-06,1.8092141219143478e-06,3.33865948051905e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,10,-0.018680546237820034,-0.020607414010128104,-0.02,-0.019,8.246492578287394e-06,9.611080681327728e-06,9.611080681327728e-06,1.1447635918218309e-05,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,10,-0.04135511025053273,0.009305839096849984,-0.05,0.01,1.3667489412517276e-06,1.1234022482332979e-06,1.1234022482332979e-06,1.1102393354638082e-06,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,10,-0.01922426772289481,0.0010859633103659167,-0.02,0.0,1.6526151791680776e-06,1.6671808902958415e-06,1.6671808902958415e-06,1.9036667273215345e-06,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,10,-0.0005359611223700492,0.01792031074600507,0.0,0.019,1.2418297188875708e-06,2.063688992153289e-06,2.063688992153289e-06,3.85610793227389e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,10,-0.020642400208618635,-0.022835341231025243,-0.02,-0.019,6.394382724463377e-06,7.103370512577834e-06,7.103370512577834e-06,8.125132746421822e-06,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,10,-0.04182231823350414,0.008910699275888435,-0.05,0.01,1.5692812143528684e-06,1.2088916217779887e-06,1.2088916217779887e-06,1.107156098169751e-06,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,10,-0.018911619129643432,0.001016366681762659,-0.02,0.0,1.6409786846215746e-06,1.6699376458147855e-06,1.6699376458147855e-06,1.923277711929562e-06,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,10,-0.0002812397774176864,0.01822303404326024,0.0,0.019,1.1762147400498337e-06,1.7888880626913322e-06,1.7888880626913322e-06,3.0986056520815905e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,10,-0.020195866689735862,-0.02262538320063696,-0.02,-0.019,4.337168176316321e-06,4.9356033162262116e-06,4.9356033162262116e-06,5.859038303445972e-06,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,10,-0.04072006643120591,0.009417385360723654,-0.05,0.01,1.9349244726394723e-06,1.444285051154362e-06,1.444285051154362e-06,1.247642801994428e-06,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,10,-0.01829104192913146,0.0013517564100700716,-0.02,0.0,1.4410661391912428e-06,1.5020986072922762e-06,1.5020986072922762e-06,1.7973577937711617e-06,-1.1780972450961724,-0.39269908169872414
1,0.001,0.0009,10,-0.0007085015461933792,0.017737578152574488,0.0,0.019,9.00524253191683e-07,1.434481160001042e-06,1.434481160001042e-06,2.7005174960004317e-06,-1.1780972450961724,-0.39269908169872414
2,0.001,0.0009,10,-0.020575697679758247,-0.022826763621453958,-0.02,-0.019,4.356774017999679e-06,5.067546578947837e-06,5.067546578947837e-06,6.142825000290417e-06,-1.1780972450961724,-0.39269908169872414
3,0.001,0.0009,10,-0.04538104654363139,0.007240470256954731,-0.05,0.01,1.4417033135127685e-06,1.0072792957234748e-06,1.0072792957234748e-06,8.691778010095668e-07,-1.1780972450961724,-0.39269908169872414
0,0.001,0.0009,10,-0.01967032709199177,-0.0011577126463744847,-0.02,0.0,1.1718684735929012e-07,1.0387983332515635e-07,1.0387983332515635e-07,1.6115166614530486e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,10,0.00030697851579075403,0.019154234839063887,0.0,0.019,2.3501382814020126e-07,-8.543269998999229e-07,-8.543269998999229e-07,5.721964590327347e-06,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,10,-0.01977605659268207,-0.018293807596279146,-0.02,-0.019,2.3479678136227131e-07,7.416993513794794e-07,7.416993513794794e-07,4.3669022881415785e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,10,-0.04469409512290667,0.025008945425424586,-0.05,0.01,2.5557405100802345e-07,-9.932172966096612e-07,-9.932172966096612e-07,6.673769752564692e-06,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,10,-0.019776930965894064,0.001159139718864845,-0.02,0.0,1.0452606703800936e-07,8.560908619266828e-09,8.560908619266828e-09,7.109745738375857e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,10,0.0005371629488908234,0.01858559507448969,0.0,0.019,3.0221039204769425e-07,-1.1097579816978852e-06,-1.1097579816978852e-06,6.3443664317223265e-06,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,10,-0.02016322718029395,-0.019530010889156072,-0.02,-0.019,4.1419446205512243e-07,1.4240488950659198e-06,1.4240488950659198e-06,6.659961948824579e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,10,-0.049341010676329296,0.03395092204353178,-0.05,0.01,1.612890733531829e-07,-8.164797209746646e-07,-8.164797209746646e-07,1.1986660125658868e-05,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,10,-0.020088198586076182,0.0009141607860498953,-0.02,0.0,1.0458029899384105e-07,-1.530977717199985e-08,-1.530977717199985e-08,6.968355591187313e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,10,-1.1638000380810142e-05,0.020863004691868466,0.0,0.019,8.823444685037879e-07,-3.506568622408283e-06,-3.506568622408283e-06,1.5898418416348816e-05,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,10,-0.02030732125312532,-0.020290449119049543,-0.02,-0.019,1.3633336209644402e-07,2.920578458061134e-07,2.920578458061134e-07,3.0123500132041883e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,10,-0.04970288227283066,0.029402320105874964,-0.05,0.01,1.3667061911563978e-07,-3.1051128389271787e-07,-3.1051128389271787e-07,3.377754681173568e-06,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,10,-0.020189743168531452,-0.0006860063676099232,-0.02,0.0,1.0479660998175114e-07,1.5082947646248747e-08,1.5082947646248747e-08,6.1362298410830625e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,10,0.0003140135270601319,0.019651557399353793,0.0,0.019,8.920625880474153e-07,-3.567072359370327e-06,-3.567072359370327e-06,1.6245636489505955e-05,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,10,-0.019926834825442767,-0.018444997606258152,-0.02,-0.019,2.3060162090797656e-07,9.76782400630022e-07,9.76782400630022e-07,7.681788208261819e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,10,-0.04631100519228586,0.00969348347984096,-0.05,0.01,1.079910890779592e-07,-1.8250885061695553e-07,-1.8250885061695553e-07,9.063307288630406e-06,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,10,-0.02021770031122275,-0.0013002863608158847,-0.02,0.0,1.1633324715472421e-07,-3.2808909759173317e-07,-3.2808909759173317e-07,8.973904114460136e-06,-0.39269908169872414,0.39269908169872414
1,0.001,0.0009,10,-5.3055014279960446e-05,0.02067583913978469,0.0,0.019,9.179196443466288e-07,-3.582933983700676e-06,-3.582933983700676e-06,1.587304099907001e-05,-0.39269908169872414,0.39269908169872414
2,0.001,0.0009,10,-0.020254415066571257,-0.019988044968823088,-0.02,-0.019,3.835579565427353e-07,1.4773211614158568e-06,1.4773211614158568e-06,7.929768969131912e-06,-0.39269908169872414,0.39269908169872414
3,0.001,0.0009,10,-0.04798555110887387,0.032328702835439566,-0.05,0.01,1.341113482717089e-07,-4.3102561525741177e-07,-4.3102561525741177e-07,6.663502453001456e-06,-0.39269908169872414,0.39269908169872414
0,0.001,0.0009,10,-0.020192757224161945,0.000749986284271798,-0.02,0.0,1.1798754864338403e-07,4.615293660742551e-08,4.615293660742551e-08,9.53146000803132e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,10,-0.00013038483961684387,0.018336709857881564,0.0,0.019,1.7641180446246809e-07,-3.37190918345193e-07,-3.37190918345193e-07,1.8003175250265e-06,-0.7853981633974483,0.7853981633974483
2,0.001,0.0009,10,-0.019473207598723855,-0.015366144310410156,-0.02,-0.019,1.2438937947652953e-07,1.1098224936083824e-07,1.1098224936083824e-07,1.1856951412318306e-06,-0.7853981633974483,0.7853981633974483
3,0.001,0.0009,10,-0.049428080326242164,0.0031758774736464247,-0.05,0.01,1.3243469467258054e-07,-6.355401948200573e-08,-6.355401948200573e-08,6.015309452281145e-07,-0.7853981633974483,0.7853981633974483
0,0.001,0.0009,10,-0.01993733147501091,-0.00021194193244048916,-0.02,0.0,1.1894201251053677e-07,5.32087921060431e-08,5.32087921060431e-08,9.461474660102764e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,10,-0.0001357294178063742,0.0186441984013082,0.0,0.019,1.7986362267860757e-07,-3.317339706006245e-07,-3.317339706006245e-07,1.676311563811795e-06,-0.7853981633974483,0.7853981633974483
2,0.001,0.0009,10,-0.019648830137204025,-0.016116061995725843,-0.02,-0.019,1.26869977046721e-07,1.196525902161349e-07,1.196525902161349e-07,1.1575750799409133e-06,-0.7853981633974483,0.7853981633974483
3,0.001,0.0009,10,-0.049242722691571504,0.003798775750852132,-0.05,0.01,1.2710994155822404e-07,-5.3522931880988536e-08,-5.3522931880988536e-08,6.628982567276298e-07,-0.7853981633974483,0.7853981633974483
0,0.001,0.0009,10,-0.019840194859154038,-0.00020303669478378278,-0.02,0.0,1.1788951903292165e-07,4.327495864120842e-08,4.327495864120842e-08,9.413748965008986e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,10,-0.00015955736902034198,0.019014737667673854,0.0,0.019,1.3413604387143184e-07,-1.461831738034345e-07,-1.461831738034345e-07,1.138530702523735e-06,-0.7853981633974483,0.7853981633974483
2,0.001,0.0009,10,-0.019619587415069136,-0.01690390930879547,-0.02,-0.019,1.2979437773128533e-07,1.126032363501328e-07,1.126032363501328e-07,9.805671984919618e-07,-0.7853981633974483,0.7853981633974483
3,0.001,0.0009,10,-0.04952816028253028,0.001521338242099967,-0.05,0.01,1.2507616885636786e-07,-7.192374244684324e-08,-7.192374244684324e-08,8.185116710902495e-07,-0.7853981633974483,0.7853981633974483
0,0.001,0.0009,10,-0.019738350097316296,-0.00019880213364878517,-0.02,0.0,1.211228610520564e-07,5.1866195106716426e-08,5.1866195106716426e-08,8.369217766342269e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,10,-6.16966188411048e-05,0.01956323306682726,0.0,0.019,1.3738713036119733e-07,-1.530658617510624e-07,-1.530658617510624e-07,1.1004318312965257e-06,-0.7853981633974483,0.7853981633974483
2,0.001,0.0009,10,-0.01960557927360307,-0.017516998473567025,-0.02,-0.019,1.3633803757021622e-07,1.530744314346525e-07,1.530744314346525e-07,1.1322384543039289e-06,-0.7853981633974483,0.7853981633974483
3,0.001,0.0009,10,-0.04951536469058794,0.0028464010427348037,-0.05,0.01,1.2672343194935235e-07,-9.702235432231579e-08,-9.702235432231579e-08,9.480501372007431e-07,-0.7853981633974483,0.7853981633974483
0,0.001,0.0009,10,-0.019799409613900403,-0.00035886768561726296,-0.02,0.0,1.191385102730343e-07,1.7275512375200886e-08,1.7275512375200886e-08,7.789608155971613e-07,-0.7853981633974483,0.7853981633974483
1,0.001,0.0009,10,-0.00013787658287078695,0.019382777107877155,0.0,0.019,1.7679085539952968e-07,-2.794951316230303e-07,-2.794951316230303e-07,1.3083780884958511e-06,-0.7853981633974483,0.7853981633974483
2,0.001,0.0009,10,-0.017519956072316305,-0.006775989853382054,-0.02,-0.019,1.297311745094043e-07,1.0619966923406533e-07,1.0619966923406533e-07,9.226024738214386e-07,-0.7853981633974483,0.7853981633974483
3,0.001,0.0009,10,-0.049226227371434596,0.00609642068057449,-0.05,0.01,1.4189336035305024e-07,-1.6319754800571218e-07,-1.6319754800571218e-07,1.0630247824101233e-06,-0.7853981633974483,0.7853981633974483
0,0.001,0.0009,10,-0.020206827678482586,-0.0005796420598429214,-0.02,0.0,2.450450643647386e-07,1.6874034536918897e-07,1.6874034536918897e-07,3.782279421645239e-07,-1.5707963267948966,0.0
1,0.001,0.0009,10,5.394052586535999e-06,0.018461948390004614,0.0,0.019,2.0211692779649722e-07,2.1072095926455751e-07,2.1072095926455751e-07,6.63712040005065e-07,-1.5707963267948966,0.0
2,0.001,0.0009,10,-0.020792708294865306,-0.020224149221190313,-0.02,-0.019,4.7242601135233287e-07,3.7729528608067414e-07,3.7729528608067414e-07,5.172298122650435e-07,-1.5707963267948966,0.0
3,0.001,0.0009,10,-0.050411742418182304,0.02046649317165387,-0.05,0.01,3.7597560555963186e-07,2.0638029409683858e-07,2.0638029409683858e-07,2.980193328328854e-07,-1.5707963267948966,0.0
0,0.001,0.0009,10,-0.020157159251304374,-0.0005456590863537713,-0.02,0.0,3.690342010356193e-07,2.9303766477548914e-07,2.9303766477548914e-07,4.6575226813442394e-07,-1.5707963267948966,0.0
1,0.001,0.0009,10,0.00016794557576839723,0.01894596078529757,0.0,0.019,3.0223373167984903e-07,3.459068983095838e-07,3.459068983095838e-07,7.612630267098412e-07,-1.5707963267948966,0.0
2,0.001,0.0009,10,-0.021481149815579473,-0.02087328885284123,-0.02,-0.019,6.29423993818707e-07,4.873945080997818e-07,4.873945080997818e-07,5.745605653145783e-07,-1.5707963267948966,0.0
3,0.001,0.0009,10,-0.048122086887908935,0.019488912428219422,-0.05,0.01,3.3839147574080454e-07,1.828865291242841e-07,1.828865291242841e-07,2.902809376191614e-07,-1.5707963267948966,0.0
0,0.001,0.0009,10,-0.019722880866349716,-0.0004811991937073831,-0.02,0.0,4.22053141171832e-07,3.186103114088226e-07,3.186103114088226e-07,4.545233980381082e-07,-1.5707963267948966,0.0
1,0.001,0.0009,10,0.00020972967368129643,0.019150150335226216,0.0,0.019,3.4219002321482714e-07,3.4809415772709126e-07,3.4809415772709126e-07,6.57700083742433e-07,-1.5707963267948966,0.0
2,0.001,0.0009,10,-0.02133510423147932,-0.02071427761582252,-0.02,-0.019,6.470018211747908e-07,5.532209249237842e-07,5.532209249237842e-07,6.852853286674762e-07,-1.5707963267948966,0.0
3,0.001,0.0009,10,-0.048693956034561815,0.019162024638774824,-0.05,0.01,3.8911451560120624e-07,1.8410431808762832e-07,1.8410431808762832e-07,2.586834980206799e-07,-1.5707963267948966,0.0
0,0.001,0.0009,10,-0.01994099298564341,-0.00042204883872528097,-0.02,0.0,3.6103366452067957e-07,3.274301662920718e-07,3.274301662920718e-07,5.597029257168833e-07,-1.5707963267948966,0.0
1,0.001,0.0009,10,-0.00010295667398370502,0.018840185244847762,0.0,0.019,3.7879754490080537e-07,3.874955907074648e-07,3.874955907074648e-07,6.894229806762513e-07,-1.5707963267948966,0.0
2,0.001,0.0009,10,-0.020070773229629742,-0.02019870334248093,-0.02,-0.019,7.639225865746698e-07,5.954216621183508e-07,5.954216621183508e-07,6.555531325812713e-07,-1.5707963267948966,0.0
3,0.001,0.0009,10,-0.04934549940190837,0.01749238275352178,-0.05,0.01,3.162831593821396e-07,1.4893703687202622e-07,1.4893703687202622e-07,2.5692543049318706e-07,-1.5707963267948966,0.0
0,0.001,0.0009,10,-0.020052990172182452,-0.00037794399586380076,-0.02,0.0,3.0463176494655994e-07,2.7350336860714157e-07,2.7350336860714157e-07,5.267048133481924e-07,-1.5707963267948966,0.0
1,0.001,0.0009,10,-8.190372294134457e-05,0.018906259444750047,0.0,0.019,3.6041825685698206e-07,4.599324416677083e-07,4.599324416677083e-07,9.70468544875784e-07,-1.5707963267948966,0.0
2,0.001,0.0009,10,-0.019516223871069823,-0.019803708014012055,-0.02,-0.019,7.19611462924047e-07,5.479776043215555e-07,5.479776043215555e-07,6.072597042546782e-07,-1.5707963267948966,0.0
3,0.001,0.0009,10,-0.049251005521466384,0.020592737030227203,-0.05,0.01,3.626060260520155e-07,1.5148482807420365e-07,1.5148482807420365e-07,2.3242520920303756e-07,-1.5707963267948966,0.0
0,0.001,0.0009,10,-0.019167300293482698,0.0004900765269791399,-0.02,0.0,2.411891530555191e-07,-1.4499309110140768e-07,-1.4499309110140768e-07,3.320185481202348e-07,-1.5707963267948966,1.5707963267948966
1,0.001,0.0009,10,0.0003354384759182036,0.017918507085195007,0.0,0.019,1.53174240134876e-07,-3.093015850726529e-08,-3.093015850726529e-08,3.355590400899771e-07,-1.5707963267948966,1.5707963267948966
2,0.001,0.0009,10,-0.019946381245792573,-0.020254206967295678,-0.02,-0.019,1.8495209068770177e-07,9.136434937937943e-08,9.136434937937943e-08,3.3524778957216415e-07,-1.5707963267948966,1.5707963267948966
3,0.001,0.0009,10,-0.048438045158077314,0.011982638761375225,-0.05,0.01,2.246663608966589e-07,-3.501934816951348e-08,-3.501934816951348e-08,2.009354018790512e-07,-1.5707963267948966,1.5707963267948966
0,0.001,0.0009,10,-0.019403582000804196,0.0004026581935872274,-0.02,0.0,1.986248855543346e-07,-1.0525066243429417e-07,-1.0525066243429417e-07,3.2989898601402383e-07,-1.5707963267948966,1.5707963267948966
1,0.001,0.0009,10,0.0003985209788729199,0.01770224533372603,0.0,0.019,1.5397384514311664e-07,-8.357953385687612e-08,-8.357953385687612e-08,4.497258367244656e-07,-1.5707963267948966,1.5707963267948966
2,0.001,0.0009,10,-0.01978710327830812,-0.019620703412641775,-0.02,-0.019,1.6587849046000573e-07,5.5162873378931596e-08,5.5162873378931596e-08,3.2135987723211407e-07,-1.5707963267948966,1.5707963267948966
3,0.001,0.0009,10,-0.046448672432673664,0.011649390567590137,-0.05,0.01,2.2337103164758475e-07,-2.2553968265142245e-08,-2.2553968265142245e-08,1.9586780718949213e-07,-1.5707963267948966,1.5707963267948966
0,0.001,0.0009,10,-0.019418979878011798,0.0003785531321263433,-0.02,0.0,1.9021833292880392e-07,-1.3015212576196034e-07,-1.3015212576196034e-07,4.189651875081728e-07,-1.5707963267948966,1.5707963267948966
1,0.001,0.0009,10,0.0002863547270108894,0.018507648751116032,0.0,0.019,1.8247303332690663e-07,-1.0737211915330282e-07,-1.0737211915330282e-07,3.823181810810733e-07,-1.5707963267948966,1.5707963267948966
2,0.001,0.0009,10,-0.0191082576947648,-0.019545717546242528,-0.02,-0.019,1.6814687280548878e-07,6.20024328197e-08,6.20024328197e-08,3.260247763919204e-07,-1.5707963267948966,1.5707963267948966
3,0.001,0.0009,10,-0.045376254792436566,0.01346121143719396,-0.05,0.01,1.976726007006715e-07,-2.4240684566951108e-08,-2.4240684566951108e-08,2.2190592917369597e-07,-1.5707963267948966,1.5707963267948966
0,0.001,0.0009,10,-0.019267312995796215,-0.0002941109191258059,-0.02,0.0,1.8390437786483763e-07,-1.1683526814123293e-07,-1.1683526814123293e-07,4.0299175805290897e-07,-1.5707963267948966,1.5707963267948966
1,0.001,0.0009,10,-8.688457061712944e-05,0.019281064662537085,0.0,0.019,2.212525229461822e-07,-1.4049982796897478e-07,-1.4049982796897478e-07,3.600783896562909e-07,-1.5707963267948966,1.5707963267948966
2,0.001,0.0009,10,-0.019539767780575226,-0.019234961676186678,-0.02,-0.019,1.4468275001617382e-07,3.711140425572776e-08,3.711140425572776e-08,3.931367142322341e-07,-1.5707963267948966,1.5707963267948966
3,0.001,0.0009,10,-0.04671144459936654,0.013525557778323575,-0.05,0.01,2.1060452618655803e-07,1.347963400889406e-08,1.347963400889406e-08,2.0372425163693547e-07,-1.5707963267948966,1.5707963267948966
0,0.001,0.0009,10,-0.019341892900800566,-0.00041277658092588824,-0.02,0.0,1.9750617108710067e-07,-1.0258912434938588e-07,-1.0258912434938588e-07,3.267557062081807e-07,-1.5707963267948966,1.5707963267948966
1,0.001,0.0009,10,-0.00045381890755041696,0.01985249737458313,0.0,0.019,2.827181464418648e-07,-2.5907599638562805e-07,-2.5907599638562805e-07,5.356984442314157e-07,-1.5707963267948966,1.5707963267948966
2,0.001,0.0009,10,-0.01934861413331559,-0.01912870502042099,-0.02,-0.019,1.4453460625003173e-07,3.9267855636230946e-08,3.9267855636230946e-08,3.981490935900971e-07,-1.5707963267948966,1.5707963267948966
3,0.001,0.0009,10,-0.04850250373264574,0.01296131354543727,-0.05,0.01,2.0008561135464163e-07,-2.5946222332313668e-08,-2.5946222332313668e-08,2.1995100690037882e-07,-1.5707963267948966,1.5707963267948966
