calib_id,sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y,cov_00,cov_01,cov_10,cov_11,movement_name
0,0.001,0.0009,15,-0.019534139938948807,0.0008414441123651354,-0.02,0.0,4.725721098094983e-07,4.6087838923724055e-07,4.6087838923724055e-07,6.063659815220986e-07,-75 to -15 deg
1,0.001,0.0009,15,0.000168703845231999,0.019557245537989112,0.0,0.019,4.493841517402483e-07,7.074877493259667e-07,7.074877493259667e-07,1.400468317651018e-06,-75 to -15 deg
2,0.001,0.0009,15,-0.019010090745076064,-0.019437291258339456,-0.02,-0.019,7.943683348335585e-07,8.548003285891786e-07,8.548003285891786e-07,1.0821792628050203e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.050997715764901294,0.009771252482208066,-0.05,0.01,4.480424877938456e-07,3.260365347273156e-07,3.260365347273156e-07,3.617219023689463e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.01951981720688246,0.0007874252379294732,-0.02,0.0,5.330783141252546e-07,4.933899103135953e-07,4.933899103135953e-07,6.031310966605199e-07,-75 to -15 deg
1,0.001,0.0009,15,0.00043820999746903066,0.01988823788230301,0.0,0.019,3.99579235012581e-07,5.695442444589948e-07,5.695442444589948e-07,1.0676216389580386e-06,-75 to -15 deg
2,0.001,0.0009,15,-0.019232381197880774,-0.019798121118969465,-0.02,-0.019,7.097044409899239e-07,7.774578390696195e-07,7.774578390696195e-07,1.0191195285721784e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.050614774990137924,0.010970187077921807,-0.05,0.01,4.512068571841462e-07,3.377421198034946e-07,3.377421198034946e-07,3.795306390689332e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.01958023952312461,0.0005467506153803645,-0.02,0.0,4.986020918635481e-07,4.931296171973646e-07,4.931296171973646e-07,6.453749437602909e-07,-75 to -15 deg
1,0.001,0.0009,15,-0.00010398562397036091,0.019183229890566537,0.0,0.019,3.812231794246217e-07,5.359552034993778e-07,5.359552034993778e-07,1.0069732912532028e-06,-75 to -15 deg
2,0.001,0.0009,15,-0.018727462648905124,-0.020045591944450134,-0.02,-0.019,8.290590567667184e-07,9.153973866080982e-07,9.153973866080982e-07,1.1770460644401394e-06,-75 to -15 deg
3,0.001,0.0009,15,-0.050914274749309846,0.010313778900706269,-0.05,0.01,3.9214382164592663e-07,2.7332945872725515e-07,2.7332945872725515e-07,3.145457442844059e-07,-75 to -15 deg
0,0.001,0.0009,15,-0.019474815213186975,0.0005915593407702885,-0.02,0.0,5.280558575066707e-07,5.066184554313507e-07,5.066184554313507e-07,6.377657405481802e-07,-75 to -15 deg
1,0.001,0.0009,15,0.000215610896490098,0.019600431015751384,0.0,0.019,3.4583821518584836e-07,4.859821223379202e-07,4.859821223379202e-07,9.422250035176293e-07,-75 to -15 deg
