sigma_range,sigma_encoder,window_size,est_cj_x,est_cj_y,cj_x,cj_y
0.05,0.017,20,-0.0025664430315190433,0.0009747984117610574,0.02,0.0
0.05,0.017,20,0.019445526950379374,-0.014502766307889227,0.0,0.019
0.05,0.017,20,-0.03819022996804175,-0.04096763775604367,0.02,-0.019
0.05,0.017,20,-0.07926576580232735,-0.010712358686613866,0.05,0.01
0.05,0.017,20,-0.0064766479363201086,-0.0008883715246739626,0.02,0.0
0.05,0.017,20,0.015148191736431397,-0.007389340924539108,0.0,0.019
0.05,0.017,20,-0.027401144936665178,-0.04182486222947282,0.02,-0.019
0.05,0.017,20,-0.0952736145459591,0.021689950277220985,0.05,0.01
0.05,0.017,20,-0.0033028844627916608,-0.00810099704294007,0.02,0.0
0.05,0.017,20,0.018216449928536146,-0.0027541346079616525,0.0,0.019
0.05,0.017,20,-0.032535472797123904,-0.03679036407340074,0.02,-0.019
0.05,0.017,20,-0.056410601458501825,-0.01222306075697287,0.05,0.01
0.05,0.017,20,-0.003298193529799519,-0.010379939450175618,0.02,0.0
0.05,0.017,20,0.017314338923389617,0.0017095559309041788,0.0,0.019
0.05,0.017,20,-0.0316029637952746,-0.02814179753455587,0.02,-0.019
0.05,0.017,20,-0.04795310549121706,0.0019964292086818965,0.05,0.01
0.05,0.017,20,-0.010303201243627949,-0.008787331888828848,0.02,0.0
0.05,0.017,20,0.007919816627988786,0.0019891545397036723,0.0,0.019
0.05,0.017,20,-0.03220826317417524,-0.030502069075078,0.02,-0.019
0.05,0.017,20,-0.05708399061149196,0.04141254858915202,0.05,0.01
0.05,0.009,20,-0.004157948296972701,-0.003967738995628188,0.02,0.0
0.05,0.009,20,0.006946309526276197,0.04175206870603221,0.0,0.019
0.05,0.009,20,-0.011263927591379844,-0.0323168787066285,0.02,-0.019
0.05,0.009,20,-0.07587263489153781,-0.08736504867356601,0.05,0.01
0.05,0.009,20,-0.00547565871625082,1.4478026606238106e-05,0.02,0.0
0.05,0.009,20,0.007079190973352914,0.0374416490813585,0.0,0.019
0.05,0.009,20,-0.0031613720080314253,-0.03150744040408057,0.02,-0.019
0.05,0.009,20,-0.043301692568639465,-0.05314171988852005,0.05,0.01
0.05,0.009,20,-0.021245399775923747,0.00702689639492751,0.02,0.0
0.05,0.009,20,0.005133739580824226,0.013847071238965135,0.0,0.019
0.05,0.009,20,-0.004161194961537439,-0.0041239613768149185,0.02,-0.019
0.05,0.009,20,-0.10456262144196199,0.06423239890748886,0.05,0.01
0.05,0.009,20,-0.023875395237430725,0.0036492386177629267,0.02,0.0
0.05,0.009,20,-0.001287553188858307,0.009318508777995605,0.0,0.019
0.05,0.009,20,-0.00832360622972476,-0.02002907998992635,0.02,-0.019
0.05,0.009,20,-0.10516550263257016,-0.05064746466338157,0.05,0.01
0.05,0.009,20,-0.025274441019247473,0.004788222763894567,0.02,0.0
0.05,0.009,20,-0.0036871114007200187,0.013592002717177493,0.0,0.019
0.05,0.009,20,-0.008239046536441003,-0.005673666441328634,0.02,-0.019
0.05,0.009,20,-0.08331205835216855,-0.0038924010533066752,0.05,0.01
0.05,0.0009,20,-0.026577631166598586,-0.03481574930564327,0.02,0.0
0.05,0.0009,20,0.0028557691117558404,-0.0028442750686455825,0.0,0.019
0.05,0.0009,20,-0.007351677879235991,-0.021631508452930118,0.02,-0.019
0.05,0.0009,20,-0.05708677961966133,0.006494548630132754,0.05,0.01
0.05,0.0009,20,-0.028989389827090574,-0.028402931390215345,0.02,0.0
0.05,0.0009,20,0.006369721477302293,-0.0062797889569224385,0.0,0.019
0.05,0.0009,20,-0.00921381672750294,-0.02148486186557947,0.02,-0.019
0.05,0.0009,20,-0.019460102202096624,0.04704430007948349,0.05,0.01
0.05,0.0009,20,-0.033150864161408077,-0.02715311904883934,0.02,0.0
0.05,0.0009,20,-0.002477262694878834,-0.011697309913737547,0.0,0.019
0.05,0.0009,20,-0.014431492662405902,-0.021925647550179665,0.02,-0.019
0.05,0.0009,20,-0.0681417066388293,-0.011294637230880296,0.05,0.01
0.05,0.0009,20,-0.03906794755376232,-0.026558308056647578,0.02,0.0
0.05,0.0009,20,0.004301985025815528,0.003915140085671495,0.0,0.019
0.05,0.0009,20,-0.01563065546196495,-0.02969730530720928,0.02,-0.019
0.05,0.0009,20,-0.029517139632928034,0.12146718941034068,0.05,0.01
0.05,0.0009,20,-0.041264372431328744,-0.022022074864545795,0.02,0.0
0.05,0.0009,20,0.00935960134447506,0.014831611463964764,0.0,0.019
0.05,0.0009,20,-0.03514444540573111,-0.04896489118890409,0.02,-0.019
0.05,0.0009,20,-0.19032357770803543,0.1206198761855608,0.05,0.01
0.01,0.017,20,-0.02008276192065518,-0.002811681939561793,0.02,0.0
0.01,0.017,20,0.005014429636514692,0.025708699513860057,0.0,0.019
0.01,0.017,20,-0.01825852980239373,-0.01506138865016263,0.02,-0.019
0.01,0.017,20,-0.05286991759413329,-0.0053915808274786516,0.05,0.01
0.01,0.017,20,-0.019578765334197067,-0.0029924753873170427,0.02,0.0
0.01,0.017,20,0.004434762031125385,0.0268987227906559,0.0,0.019
0.01,0.017,20,-0.01917189681389641,-0.015599408514139984,0.02,-0.019
0.01,0.017,20,-0.05484312361938622,-0.0033163940915270605,0.05,0.01
0.01,0.017,20,-0.020040209433666738,-0.0032590812163253067,0.02,0.0
0.01,0.017,20,0.004316983638604699,0.026905732253575437,0.0,0.019
0.01,0.017,20,-0.018943080027896513,-0.015020404479768282,0.02,-0.019
0.01,0.017,20,-0.06019898919328304,-0.00176527893399167,0.05,0.01
0.01,0.017,20,-0.021151801565603024,-0.006193685510186604,0.02,0.0
0.01,0.017,20,0.004730391648469232,0.025675995722794193,0.0,0.019
0.01,0.017,20,-0.019166583356205642,-0.014665361232995743,0.02,-0.019
0.01,0.017,20,-0.05893040379975645,-0.002080155326321404,0.05,0.01
0.01,0.017,20,-0.020415764964465257,-0.006524797529540997,0.02,0.0
0.01,0.017,20,0.004893339675438799,0.02624485351889026,0.0,0.019
0.01,0.017,20,-0.021329213782579844,-0.014996703263607603,0.02,-0.019
0.01,0.017,20,-0.051498936106111684,-0.0067527288168044595,0.05,0.01
0.01,0.009,20,-0.019138004700264572,-0.004487929993679933,0.02,0.0
0.01,0.009,20,4.096513523380901e-05,0.01700842913774295,0.0,0.019
0.01,0.009,20,-0.0215587747418248,-0.015002310923324493,0.02,-0.019
0.01,0.009,20,-0.04512261508754996,0.007836411717566055,0.05,0.01
0.01,0.009,20,-0.016936628422467747,-0.004181610803925677,0.02,0.0
0.01,0.009,20,-0.0011214311736382136,0.01499721716142304,0.0,0.019
0.01,0.009,20,-0.02076989359217047,-0.01374683546455729,0.02,-0.019
0.01,0.009,20,-0.05132163596167958,0.004229744956996764,0.05,0.01
0.01,0.009,20,-0.018836868102026203,-0.00390608255861704,0.02,0.0
0.01,0.009,20,-0.001009124495442003,0.01482593176380777,0.0,0.019
0.01,0.009,20,-0.02012868776438704,-0.01595141875229292,0.02,-0.019
0.01,0.009,20,-0.05651928012569829,0.004715526168635197,0.05,0.01
0.01,0.009,20,-0.020455408209965487,-0.0033870626811962406,0.02,0.0
0.01,0.009,20,-0.001420957454271674,0.016052316199141287,0.0,0.019
0.01,0.009,20,-0.020261190939849807,-0.01574982221868579,0.02,-0.019
0.01,0.009,20,-0.054622879158256164,0.0017550456694477847,0.05,0.01
0.01,0.009,20,-0.020894152819884305,-0.005738420198419214,0.02,0.0
0.01,0.009,20,-0.0009718259311112374,0.01595995161291044,0.0,0.019
0.01,0.009,20,-0.019954531650649993,-0.013956365986221993,0.02,-0.019
0.01,0.009,20,-0.054691413369694866,0.0029437339027309304,0.05,0.01
0.01,0.0009,20,-0.021292716442240837,0.0007501081556012609,0.02,0.0
0.01,0.0009,20,-0.001673947782212493,0.021874269248620678,0.0,0.019
0.01,0.0009,20,-0.022415777836119036,-0.020585472882033502,0.02,-0.019
0.01,0.0009,20,-0.05122937335340789,0.007778135325859289,0.05,0.01
0.01,0.0009,20,-0.021848447368668936,0.0010572956874073981,0.02,0.0
0.01,0.0009,20,-0.001753036385689795,0.021982899404011328,0.0,0.019
0.01,0.0009,20,-0.02217639448280855,-0.020394952422484805,0.02,-0.019
0.01,0.0009,20,-0.05171750151937528,0.005157608876503831,0.05,0.01
0.01,0.0009,20,-0.022141464100990646,0.0032606636227816366,0.02,0.0
0.01,0.0009,20,-0.0014606000105611657,0.019424768905951764,0.0,0.019
0.01,0.0009,20,-0.021428732956845012,-0.017713090592980922,0.02,-0.019
0.01,0.0009,20,-0.05247258569738379,7.533254191906431e-05,0.05,0.01
0.01,0.0009,20,-0.022231568120364784,0.0035543727082503105,0.02,0.0
0.01,0.0009,20,-0.0021427322542060465,0.021654107908803698,0.0,0.019
0.01,0.0009,20,-0.020785510757605635,-0.017157517814941122,0.02,-0.019
0.01,0.0009,20,-0.05424868774208277,-0.0003378015209770512,0.05,0.01
0.01,0.0009,20,-0.022552414606661856,0.004861518626181735,0.02,0.0
0.01,0.0009,20,-0.001973122106967167,0.020151496998516722,0.0,0.019
0.01,0.0009,20,-0.020931936339543773,-0.016782833554115535,0.02,-0.019
0.01,0.0009,20,-0.05755691207028722,0.00013090007097588487,0.05,0.01
0.001,0.017,20,-0.01953775574391424,-0.00025369582644393186,0.02,0.0
0.001,0.017,20,0.0004535730881119163,0.0186048868873521,0.0,0.019
0.001,0.017,20,-0.020049795653251327,-0.018315726729740082,0.02,-0.019
0.001,0.017,20,-0.05030160173884493,0.00976484143534851,0.05,0.01
0.001,0.017,20,-0.01957977505384423,-0.0003252590042652194,0.02,0.0
0.001,0.017,20,0.0004565515538296356,0.018649230634543938,0.0,0.019
0.001,0.017,20,-0.020033953627334886,-0.018467919842785657,0.02,-0.019
0.001,0.017,20,-0.04980734200270602,0.009815468474600745,0.05,0.01
0.001,0.017,20,-0.01970348068520332,-0.0004293839293252664,0.02,0.0
0.001,0.017,20,0.00034358704332451657,0.018762437905791688,0.0,0.019
0.001,0.017,20,-0.0197635727117352,-0.018534747352226343,0.02,-0.019
0.001,0.017,20,-0.04987798429735955,0.009807481600318572,0.05,0.01
0.001,0.017,20,-0.01967407241117685,-0.00018532004091572715,0.02,0.0
0.001,0.017,20,0.000306329061029802,0.018665471770960878,0.0,0.019
0.001,0.017,20,-0.019791747732796176,-0.018608848542635545,0.02,-0.019
0.001,0.017,20,-0.04974472647487655,0.010076408365719183,0.05,0.01
0.001,0.017,20,-0.019674582945497125,-8.724207594180614e-05,0.02,0.0
0.001,0.017,20,0.0003295362792594873,0.018749480550935636,0.0,0.019
0.001,0.017,20,-0.019740354978011024,-0.01866475629644822,0.02,-0.019
0.001,0.017,20,-0.0500710919457679,0.010122483430888805,0.05,0.01
0.001,0.009,20,-0.019755858190588522,3.724224733816529e-05,0.02,0.0
0.001,0.009,20,-0.00013685111655502302,0.019319217125984056,0.0,0.019
0.001,0.009,20,-0.020495728550677834,-0.0187538813431444,0.02,-0.019
0.001,0.009,20,-0.050036662216952056,0.006345368462089251,0.05,0.01
0.001,0.009,20,-0.0197755549487197,-4.820857578176467e-05,0.02,0.0
0.001,0.009,20,-5.985233433764405e-05,0.019305962446941313,0.0,0.019
0.001,0.009,20,-0.020498806758830656,-0.019027657924212328,0.02,-0.019
0.001,0.009,20,-0.04994810438771487,0.0066943050470675385,0.05,0.01
0.001,0.009,20,-0.01986565510357199,9.375733093224632e-06,0.02,0.0
0.001,0.009,20,4.0674395776755834e-06,0.019182519588616824,0.0,0.019
0.001,0.009,20,-0.02052127967530372,-0.01898758636891282,0.02,-0.019
0.001,0.009,20,-0.04983345439944402,0.006862570765474885,0.05,0.01
0.001,0.009,20,-0.019763015733303375,-7.091790507384654e-05,0.02,0.0
0.001,0.009,20,-8.488533280621118e-05,0.019294085567284194,0.0,0.019
0.001,0.009,20,-0.020519530064178206,-0.019010416639699875,0.02,-0.019
0.001,0.009,20,-0.04981841765801332,0.006618256539078106,0.05,0.01
0.001,0.009,20,-0.0197716114424677,-0.0002900484159168387,0.02,0.0
0.001,0.009,20,3.5315804492445273e-06,0.01930387921537998,0.0,0.019
0.001,0.009,20,-0.020508700104776456,-0.018865756040263894,0.02,-0.019
0.001,0.009,20,-0.04988189946961689,0.006446136468278468,0.05,0.01
0.001,0.0009,20,-0.01944167124395391,0.0003351641186209311,0.02,0.0
0.001,0.0009,20,0.0006363996711672034,0.017317281549773994,0.0,0.019
0.001,0.0009,20,-0.019998922689141604,-0.019224671418632964,0.02,-0.019
0.001,0.0009,20,-0.049505525704090295,0.005274974386414,0.05,0.01
0.001,0.0009,20,-0.019494021848140763,0.0003129449526049483,0.02,0.0
0.001,0.0009,20,0.0006163541050951708,0.017433130196589375,0.0,0.019
0.001,0.0009,20,-0.019952108350917246,-0.01942291060780432,0.02,-0.019
0.001,0.0009,20,-0.049229271441430564,0.006811866676452875,0.05,0.01
0.001,0.0009,20,-0.0194950848817937,0.0004115494382322921,0.02,0.0
0.001,0.0009,20,0.0006525510490849165,0.01756087979994657,0.0,0.019
0.001,0.0009,20,-0.01997524562505022,-0.019356792711240623,0.02,-0.019
0.001,0.0009,20,-0.04908511507626802,0.007233562284465486,0.05,0.01
0.001,0.0009,20,-0.019548714435418776,0.0004074007938298718,0.02,0.0
0.001,0.0009,20,0.0006879421858830737,0.01746011885056049,0.0,0.019
0.001,0.0009,20,-0.020043826203538662,-0.019266487034567382,0.02,-0.019
0.001,0.0009,20,-0.04971584272212408,0.006621856311597302,0.05,0.01
0.001,0.0009,20,-0.019559914917422958,0.00034679856522740616,0.02,0.0
0.001,0.0009,20,0.000766059641366742,0.01759862160866639,0.0,0.019
0.001,0.0009,20,-0.019909781703986388,-0.01906402217904735,0.02,-0.019
0.001,0.0009,20,-0.049974595854524996,0.0062595955469403304,0.05,0.01
0.05,0.017,15,-0.02275304827637445,0.0054456370146486735,0.02,0.0
0.05,0.017,15,-0.02404863532135851,0.020140815185375822,0.0,0.019
0.05,0.017,15,-0.03699741522998523,0.036840975142006016,0.02,-0.019
0.05,0.017,15,-0.04615809297362984,-0.02400063632895859,0.05,0.01
0.05,0.017,15,-0.021864139619284375,-0.0062924608676967995,0.02,0.0
0.05,0.017,15,-0.02694888118438012,0.030524250548768672,0.0,0.019
0.05,0.017,15,-0.05081838753345819,0.0391405318375587,0.02,-0.019
0.05,0.017,15,-0.056724523568671366,-0.037881594680036844,0.05,0.01
0.05,0.017,15,-0.024136491736458144,-0.02496682865758359,0.02,0.0
0.05,0.017,15,-0.030574726459447907,0.020600977270041284,0.0,0.019
0.05,0.017,15,-0.0356974666165646,0.020622930086858976,0.02,-0.019
0.05,0.017,15,-0.029056114675366295,-0.010250014003085891,0.05,0.01
0.05,0.017,15,-0.026788853126770505,-0.015052133744023373,0.02,0.0
0.05,0.017,15,-0.029910913035433452,0.018409012606954097,0.0,0.019
0.05,0.017,15,-0.028059376620564777,0.02874250948419465,0.02,-0.019
0.05,0.017,15,-0.05152013980849342,-0.0453783421228031,0.05,0.01
0.05,0.017,15,-0.03306310111932311,-0.013382795725425263,0.02,0.0
0.05,0.017,15,-0.022548071064523733,-0.004709467679910701,0.0,0.019
0.05,0.017,15,-0.03778259749431257,0.012139373519853905,0.02,-0.019
0.05,0.017,15,-0.010745388715260491,0.007011484007117392,0.05,0.01
0.05,0.009,15,0.010753074835371489,0.03220484827326843,0.02,0.0
0.05,0.009,15,0.007236840758904737,0.00016456498219577162,0.0,0.019
0.05,0.009,15,0.011196971711519841,-0.04013001701751183,0.02,-0.019
0.05,0.009,15,0.00024318178976532462,0.05429275750699883,0.05,0.01
0.05,0.009,15,-0.009534343148602055,0.04309219402547908,0.02,0.0
0.05,0.009,15,0.00876960999452178,-0.0020257091164850756,0.0,0.019
0.05,0.009,15,0.007384330609161235,-0.04367534414618785,0.02,-0.019
0.05,0.009,15,-0.007313519645831459,-0.0062195994934703125,0.05,0.01
0.05,0.009,15,-0.01090265757434087,0.04295833550155853,0.02,0.0
0.05,0.009,15,-0.0034408529635297077,-0.029988634532423678,0.0,0.019
0.05,0.009,15,0.006421293475410114,-0.021216361052212217,0.02,-0.019
0.05,0.009,15,-0.006192841843999101,0.0813114136152681,0.05,0.01
0.05,0.009,15,-0.011806502310655904,0.061137970686131096,0.02,0.0
0.05,0.009,15,0.0023617282394361493,-0.030477965614657685,0.0,0.019
0.05,0.009,15,-0.0097686122293199,-0.052091239173288076,0.02,-0.019
0.05,0.009,15,-0.0790688473883914,0.01775557143087967,0.05,0.01
0.05,0.009,15,-0.014139763483681579,0.03634888567837841,0.02,0.0
0.05,0.009,15,0.0009139981534495498,-0.03402975311906129,0.0,0.019
0.05,0.009,15,0.011726145963578625,-0.04580449136684991,0.02,-0.019
0.05,0.009,15,-0.09650036039999574,0.08644775116763959,0.05,0.01
0.05,0.0009,15,-0.002306084258918959,0.013000597923154826,0.02,0.0
0.05,0.0009,15,-0.00010441836055452837,-0.02267192865649356,0.0,0.019
0.05,0.0009,15,-0.016913579782825688,-0.08525238389941336,0.02,-0.019
0.05,0.0009,15,-0.03787010902711289,0.039304280609205475,0.05,0.01
0.05,0.0009,15,-0.005233038643955263,0.020506768015959995,0.02,0.0
0.05,0.0009,15,0.0025878077498577797,-0.014907872445361662,0.0,0.019
0.05,0.0009,15,-0.017623851358772494,-0.05016436433472172,0.02,-0.019
0.05,0.0009,15,-0.01689705897817425,0.08586101670149082,0.05,0.01
0.05,0.0009,15,-0.0014919754346938204,0.015323434106844207,0.02,0.0
0.05,0.0009,15,0.001463704032060332,-0.00779171587702668,0.0,0.019
0.05,0.0009,15,-0.011298461460991668,-0.028370917667360905,0.02,-0.019
0.05,0.0009,15,-0.012675181556206692,0.045220716192157964,0.05,0.01
0.05,0.0009,15,-0.0010263458068497013,0.015215663085048601,0.02,0.0
0.05,0.0009,15,0.0025928413494842218,-0.012878956275167087,0.0,0.019
0.05,0.0009,15,-0.010095316412435346,-0.012351497550416493,0.02,-0.019
0.05,0.0009,15,-0.03678904397416239,0.0051730927489872305,0.05,0.01
0.05,0.0009,15,0.006018657491291919,0.0014758302527714748,0.02,0.0
0.05,0.0009,15,0.002875517096805325,-0.012177107747493067,0.0,0.019
0.05,0.0009,15,-0.017383765693374686,-0.00849679623681426,0.02,-0.019
0.05,0.0009,15,-0.02044729821737326,0.004945398083106817,0.05,0.01
0.01,0.017,15,-0.02232972343271953,0.012049627359695848,0.02,0.0
0.01,0.017,15,0.003950920549115141,0.023783365259560867,0.0,0.019
0.01,0.017,15,-0.00942169096979588,-0.007795787099562065,0.02,-0.019
0.01,0.017,15,-0.046252641034111495,0.0022105793632085473,0.05,0.01
0.01,0.017,15,-0.02266212833676471,0.012975403445797437,0.02,0.0
0.01,0.017,15,0.004902889325545467,0.024283625244536197,0.0,0.019
0.01,0.017,15,-0.012050535239388847,-0.017277246362607038,0.02,-0.019
0.01,0.017,15,-0.042427423489491016,0.011604171103394692,0.05,0.01
0.01,0.017,15,-0.02278154201608814,0.01283345330117581,0.02,0.0
0.01,0.017,15,0.00326769104194911,0.019699628374558967,0.0,0.019
0.01,0.017,15,-0.013130185526260224,-0.02198727108212171,0.02,-0.019
0.01,0.017,15,-0.04318637482250787,0.002763976254771153,0.05,0.01
0.01,0.017,15,-0.023276694040496024,0.013093999313364434,0.02,0.0
0.01,0.017,15,0.00295882059488604,0.017454878929408283,0.0,0.019
0.01,0.017,15,-0.012304924829546409,-0.021243164226816814,0.02,-0.019
0.01,0.017,15,-0.05171378949254485,0.006670555953681326,0.05,0.01
0.01,0.017,15,-0.02203495277656281,0.01191293860953357,0.02,0.0
0.01,0.017,15,0.0031052840769070335,0.016969297897896567,0.0,0.019
0.01,0.017,15,-0.011482609806703908,-0.02386240196067792,0.02,-0.019
0.01,0.017,15,-0.05328974828608067,0.004853590759763084,0.05,0.01
0.01,0.009,15,-0.022013808178839387,0.0027344575241635607,0.02,0.0
0.01,0.009,15,0.0012647458636527561,0.012240903803466681,0.0,0.019
0.01,0.009,15,-0.020754222567119122,-0.022676598053513828,0.02,-0.019
0.01,0.009,15,-0.04202968638433343,0.023444211322326887,0.05,0.01
0.01,0.009,15,-0.021277761309348157,0.003789034218110866,0.02,0.0
0.01,0.009,15,0.0024323542417271082,0.012348497731547205,0.0,0.019
0.01,0.009,15,-0.021385945176789507,-0.01841306443788231,0.02,-0.019
0.01,0.009,15,-0.057701454139028795,0.02850853523243428,0.05,0.01
0.01,0.009,15,-0.020700708877097997,0.0021389437325973204,0.02,0.0
0.01,0.009,15,0.0034393940240872137,0.014224563485227439,0.0,0.019
0.01,0.009,15,-0.02157893538947796,-0.01857894909186886,0.02,-0.019
0.01,0.009,15,-0.05193821343628879,0.02473775764723931,0.05,0.01
0.01,0.009,15,-0.021970308430178363,0.0005976902993600766,0.02,0.0
0.01,0.009,15,0.0020612857590864946,0.014487843018498717,0.0,0.019
0.01,0.009,15,-0.022407369472301264,-0.019425209159945837,0.02,-0.019
