sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta
0.05,0.09,0.017,20,False,6,0,20.12704224189762,0.0005001152080642702,-0.14116352884607505,0.0013038515363176385,-0.0008251158674357688
0.05,0.09,0.017,20,True,6,7,1.310509552648425,0.0005036529128994414,-0.018970890710876345,-0.007772065536164764,-7.120914632007695e-05
0.05,0.09,0.017,20,False,6,0,23.740290240355044,0.0005001191591043348,-0.1404865695407931,-0.0029036857700912876,-0.000915439221592183
0.05,0.09,0.017,20,False,6,3,21.610054155510543,0.0005004129277501657,-0.11103559344890486,-0.0021832210151139877,-0.0008237600804772712
0.05,0.09,0.017,20,True,6,7,1.28503447350249,0.0005039702912481766,-0.013173482517728286,-0.00678592934094146,-5.661455344997871e-05
0.05,0.09,0.017,20,False,0,6,24.47093452468313,0.0005001054784309381,-0.14562853011010246,-0.0036754603157536964,0.0006665349637318982
0.05,0.09,0.017,20,False,3,0,20.36592925071002,0.0005001762501885107,-0.16445143778757992,0.012916593280048181,-0.00041508161333313025
0.05,0.09,0.017,20,True,3,4,1.2200332536497127,0.0005028443161247163,-0.03479418672652952,0.006076936208613724,1.6832252135336773e-05
0.05,0.09,0.017,20,True,4,5,1.3737164249482607,0.0005042969459238808,-0.007399168540514564,0.004000955353760077,4.034497290703968e-07
0.05,0.09,0.017,20,False,6,0,23.740290240355044,0.0005001191591043348,-0.1404865695407931,-0.0029036857700912876,-0.000915439221592183
0.05,0.09,0.017,20,False,6,3,21.610054155510543,0.0005004129277501657,-0.11103559344890486,-0.0021832210151139877,-0.0008237600804772712
0.05,0.09,0.017,20,True,6,7,1.28503447350249,0.0005039702912481766,-0.013173482517728286,-0.00678592934094146,-5.661455344997871e-05
0.05,0.09,0.017,20,False,0,6,24.47093452468313,0.0005001054784309381,-0.14562853011010246,-0.0036754603157536964,0.0006665349637318982
0.05,0.09,0.017,20,False,3,0,20.36592925071002,0.0005001762501885107,-0.16445143778757992,0.012916593280048181,-0.00041508161333313025
0.05,0.09,0.017,20,True,3,4,1.2200332536497127,0.0005028443161247163,-0.03479418672652952,0.006076936208613724,1.6832252135336773e-05
0.05,0.09,0.017,20,False,3,6,20.15056948352268,0.0005002044910812235,-0.1711482786135979,0.00808256118295598,-0.000336341220789722
0.05,0.09,0.017,20,True,4,5,1.3127914820543283,0.000504386228911366,-0.0058428590771614835,0.0015915439768352001,-1.0824655435909453e-05
0.05,0.09,0.017,20,False,6,0,23.740290240355044,0.0005001191591043348,-0.1404865695407931,-0.0029036857700912876,-0.000915439221592183
0.05,0.09,0.017,20,False,6,3,24.46293427415886,0.0005004380705127161,-0.10997609156621987,-0.006554997028697774,-0.000912805856778587
0.05,0.09,0.017,20,True,6,7,1.28503447350249,0.0005039702912481766,-0.013173482517728286,-0.00678592934094146,-5.661455344997871e-05
0.05,0.09,0.017,20,False,0,3,18.770272871360483,0.0005002979801784253,-0.11933821954624557,-0.005060394667266409,0.0005467968120633602
0.05,0.09,0.017,20,False,0,6,24.453806812153406,0.0005001075492692121,-0.14393384350976407,0.0024205513829309313,0.0006692960516496004
0.05,0.09,0.017,20,False,3,0,21.522602084877235,0.0005002238243702699,-0.16897285721157393,0.01569515491404021,-0.00035475940843975143
0.05,0.09,0.017,20,True,3,4,1.3012386443897737,0.0005025511623075098,-0.041402585138957095,0.009737952724835837,3.631881555124684e-05
0.05,0.09,0.017,20,False,3,6,20.847593963629073,0.0005002846328042105,-0.17453147724562953,0.017299815555917322,-0.00029224434818000614
0.05,0.09,0.017,20,True,4,5,1.3127914820543283,0.000504386228911366,-0.0058428590771614835,0.0015915439768352001,-1.0824655435909453e-05
0.05,0.09,0.017,20,False,6,0,23.740290240355044,0.0005001191591043348,-0.1404865695407931,-0.0029036857700912876,-0.000915439221592183
