sigma_pos,sigma_theta,sigma_encoder,k,connected,limb_id,child_id,cost_per_obs,cov_trace,cj_x,cj_y,cj_theta,movement_name
0.001,0.0017,0.0009,15,True,0,1,1.928912175428642,4.0282436699950815e-07,-0.019906277932457694,-0.0005209429747483707,-0.0008658356768626389,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,2,1971.3815995968223,4.000000566884009e-07,-0.15013016571337776,-0.0004062726894710551,-0.0022096790464346617,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,4,2005.1672667355558,4.0000013609602384e-07,-0.14988295081830064,-0.0007724856408102108,-0.0029007006420162158,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,0,1549.5792556158954,4.00000055638081e-07,-0.14984036346599278,0.00038695531391674744,-0.0015364394726549186,-15 to 15 deg
0.001,0.0017,0.0009,15,True,2,3,1.367237076492151,4.028188039671506e-07,-0.020034567876248563,-0.0005089513014366299,-4.9290102356267455e-05,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,4,1507.7191028532575,4.000000757526424e-07,-0.14972252712284834,-0.00036759975006069755,-0.0029887402802784907,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,0,1299.3852751947238,4.0000014745546834e-07,-0.1500780875692228,0.0008232201738919142,-0.05740566061201583,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,2,1259.6207360138146,4.0000008259730843e-07,-0.1502809867384516,0.000421149950529158,-0.05816693902905219,-15 to 15 deg
0.001,0.0017,0.0009,15,True,4,5,1.5652490937517265,4.028092060359597e-07,-0.020258402542278096,0.0009479406775756657,0.0002995683532336512,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,3,3398.2947936768546,4.000047912977058e-07,-0.15034094118857003,0.0017116575571625155,0.025907057040429973,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,1,1683.9471294965574,4.0280912652461287e-07,-0.020302740734751207,-0.0021487555650135633,-0.013044578393501675,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,1,5243.385879184264,4.00004979455453e-07,-0.1509849510828411,-0.001814121050765573,-0.04006004986266803,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,3,1540.3279752344592,4.02796705463833e-07,-0.020644593878792833,0.004360211466100736,0.03358474139855769,-15 to 15 deg
0.001,0.0017,0.0009,15,False,0,5,1876.9705685137928,4.0278741515673896e-07,-0.020860592509949406,0.004298111172661862,0.027646011676517052,-15 to 15 deg
0.001,0.0017,0.0009,15,False,1,5,4229.686431407392,4.0000957562089467e-07,-0.15068230003407573,0.005355246748449432,0.03122050695207798,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,1,1900.0228503489236,4.0277848810700173e-07,-0.021060767946553507,-0.003938928734812963,-0.028342627978666497,-15 to 15 deg
0.001,0.0017,0.0009,15,False,4,3,1271.1031534636174,4.0279335327788865e-07,-0.02068841086374461,-0.003317037648858092,-0.01999648989244055,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,1,2569.749276274716,4.0000965149068237e-07,-0.14993805162592455,-0.0054433731096549046,-0.05464324714818147,-15 to 15 deg
0.001,0.0017,0.0009,15,False,2,5,1163.5178258766837,4.0279937503703386e-07,-0.02056106255671742,0.003846236449859183,0.022371864916933982,-15 to 15 deg
0.001,0.0017,0.0009,15,False,3,5,3288.072309192328,4.0000754467832297e-07,-0.15052976651345068,0.005134685083563685,-0.010597587251113242,-15 to 15 deg
0.001,0.0017,0.0009,15,False,5,3,2140.171669793003,4.00007528041253e-07,-0.15009807050194177,-0.005150590040643248,-0.06414515261986925,-15 to 15 deg
0.001,0.0017,0.0009,15,True,0,1,0.9040893580902668,4.0281647734270337e-07,-0.020086950431957098,0.00015548520378316658,0.0005856696596453397,-15 to 15 deg
